id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
35016,UA-3897,small_airport,"Lebedyn Air Base",50.549999,34.533298,476,EU,Ukraine,UA,"Sumy Oblast",UA-59,59,Lebedyn,0,UKHN,,,,https://en.wikipedia.org/wiki/Lebedyn_(air_base),"Lebedin Air Base, Аэродром Лебедин, UKHN",50,2023-09-21T14:34:51+00:00
320590,UA-0091,small_airport,"Lidavo Airstrip",50.4681472,26.2177308,,EU,Ukraine,UA,"Rivne Oblast",UA-19,19,Lidavo,0,,,,,,,50,2016-09-30T13:08:26+00:00
45180,UA-0051,small_airport,"Lokhvitsya Airfield",50.346,33.296,,EU,Ukraine,UA,"Poltava Oblast",UA-53,53,Lokhvitsya,0,,,ZD9Y,,,"Аэропорт Лохвица",50,2021-10-16T06:14:44+00:00
44369,UA-0027,small_airport,"Bliznyuki Air Base",48.876999,36.549999,,EU,Ukraine,UA,"Kharkiv Oblast",UA-63,63,Lozovaya,0,UKHB,,,,,"Bliznetsy Air Base, Аэродром Близнюки, Аэродром Близнецы, UKHB",50,2023-09-21T14:34:09+00:00
342019,UA-0141,small_airport,"Luhansk Aviation Sports Club Airfield",48.50259,39.150295,545,EU,Ukraine,UA,"Luhansk Oblast",UA-09,09,Luhansk,0,,,,,,,50,2021-04-11T13:50:11+00:00
28146,UKLC,small_airport,"Lutsk Airport",50.678404,25.487165,774,EU,Ukraine,UA,"Volyn Oblast",UA-07,07,Lutsk,0,UKLC,UCK,,,https://en.wikipedia.org/wiki/Lutsk_Airport,,50,2017-02-18T21:53:18+00:00
35028,UA-8984,small_airport,"Lutsk Air Base",50.788683025299996,25.3482913971,640,EU,Ukraine,UA,"Volyn Oblast",UA-07,07,Lutsk,0,,,,,https://en.wikipedia.org/wiki/Lutsk_(air_base),,50,2010-02-22T15:54:35+00:00
44397,UA-0034,small_airport,"Lymanske Airfield",46.668998,30.011105,,EU,Ukraine,UA,"Odessa Oblast",UA-51,51,Lymanske,0,UKOM,,,,,"Limanske, Limanskoye Air Base, Limanskoe Air Base, Аэродром Лиманское, Аэродром Лиманське",50,2023-03-22T18:50:35+00:00
321490,UA-0109,small_airport,"Malyn Airstrip",50.786675,29.246711,,EU,Ukraine,UA,"Zhytomyr Oblast",UA-18,18,Malyn,0,,,,,,,50,2016-12-12T08:48:49+00:00
46264,UA-0056,small_airport,"Mayske Airfield",48.491944,35.625933,,EU,Ukraine,UA,"Dnipropetrovsk (Sicheslav) Oblast",UA-12,12,Mayske,0,,,,http://www.avia-soyuz.com.ua/,,"Mayskoye Airfield, Mayskoe Airfield, Аеродром Майське, Аэродром Майское",50,2021-04-11T13:47:55+00:00
46265,UA-0057,small_airport,"Mospyne Airfield",47.841620693900005,38.100843429600005,,EU,Ukraine,UA,"Donetsk Oblast",UA-14,14,Mospyne,0,,,,,,"Mospine Airfield, Mospino Airfield, Аеродром Моспине, Аэродром Моспино",50,2010-03-05T14:52:43+00:00
35039,RU-2098,closed,"Mukachevo Air Base",48.400001525878906,22.683300018310547,390,EU,Ukraine,UA,"Zakarpattia Oblast",UA-21,21,Mukachev,0,,,,,https://en.wikipedia.org/wiki/Mukachevo_(air_base),,50,2008-12-30T14:07:23+00:00
324998,UKOR,small_airport,"Kulbakyne Air Base",46.936433,32.098618,177,EU,Ukraine,UA,"Mykolaiv Oblast",UA-48,48,Mykolaiv,0,UKOR,,,,,,50,2021-01-27T16:19:19+00:00
45178,UA-0049,small_airport,"Myrhorod Air Base",49.932,33.641,400,EU,Ukraine,UA,"Poltava Oblast",UA-53,53,Myrhorod,0,,MXR,,,https://en.wikipedia.org/wiki/Myrhorod_Air_Base,"Mirgorod Air Base, Аэродром Миргород",50,2015-04-15T02:47:35+00:00
46270,UA-0062,small_airport,"Liman Airfield",46.57851,30.703053,,EU,Ukraine,UA,"Odessa Oblast",UA-51,51,Naberezhne,0,UKOE,,,http://www.airclub.odessa.ua/,,"Gidroport Airfield, Аэродром Лиман, Аэродром Гидропорт",50,2021-03-19T13:54:56+00:00
315770,UKVN,small_airport,"Nalyvaikivka Airfield",50.479167,29.735833,,EU,Ukraine,UA,"Kyiv Oblast",UA-32,32,Nalyvaikivka,0,UKVN,,,http://aeroprakt.org,,,50,2022-03-12T04:37:14+00:00
